market,grid,candidates,turnover,shu_turnover,sharpe,shu_sharpe,maximum_drawdown,shu_mdd,shifts,top_candidate_share,within_tol,total_deviation,dev_cagr,dev_volatility,dev_sharpe,dev_maximum_drawdown,dev_calmar,dev_expected_shortfall_5pct,dev_turnover,dev_leverage
de,filtered,2|4|6|8|20,2.197163450360381,2.46,0.3802532289471497,0.35,-0.4385111729766794,-0.405,150,0.06971153846153846,7,0.33425831768467973,0.005765467951069747,0.00010307434894038514,0.030253228947149713,0.03351117297667938,0.0013110656622284111,7.552611993265346e-05,0.2628365496396188,0.000402232039060646
de,bulla_only,6,1.8163217856312486,2.46,0.3591615936366684,0.35,-0.4480275200994641,-0.405,124,1.0,7,0.7084263550390436,0.002764711511055451,0.0005626282816878492,0.009161593636668408,0.04302752009946409,0.007317864830709925,0.00010726569596562763,0.6436782143687514,0.0018065566147408285
de,dense_small,2|4|6|8|10|12,2.021390374331551,2.46,0.37051859713341906,0.35,-0.4614534161567543,-0.405,138,0.10576923076923077,6,0.530089077684709,0.004316267328905277,8.051282272730775e-05,0.02051859713341908,0.056453416156754255,0.007653292216738786,7.884973367432505e-05,0.4386096256684491,0.0023785166240408717
de,dense_wide,4|8|12|16|20,1.9627993489886073,2.46,0.4005860988718687,0.35,-0.3981226606730339,-0.405,134,0.0,6,0.585161889596118,0.008816467289417373,8.426963054794512e-05,0.05058609887186871,0.006877339326966103,0.020781478011717147,6.459731191561444e-05,0.49720065101139266,0.0007509881422924636
de,reach_low,2|4,2.431527551732155,2.46,0.3914892187249631,0.35,-0.46251055455484724,-0.405,166,0.8341346153846154,7,0.139340353078907,0.007564499037550576,0.0003335738900828167,0.04148921872496314,0.057510554554847215,0.0012155081390787803,1.797757451397347e-05,0.028472448267844896,0.0027365728900256014
de,reach_no_tail,0|2|4|6,2.226458963031853,2.46,0.3992769960875712,0.35,-0.44802752009946445,-0.405,152,0.31009615384615385,7,0.34023790793155634,0.008579478688496123,0.00021838560877213142,0.049276996087571245,0.04302752009946442,0.004571774274067408,2.9923831171518173e-05,0.233541036968147,0.0009927923738665134
jp,table3,0|2|4|8|20,3.29510556621881,2.9,0.1820767170170064,0.19,-0.510087343941346,-0.486,218,0.4033816425120773,7,0.4324832626432301,0.0017691000793334868,8.871765898249562e-05,0.007923282982993607,0.02408734394134604,0.0029193418569113463,0.00017244349410444962,0.3951055662188101,0.00041746641074857926
jp,table3_plus6,0|2|4|6|8|20,3.1439539347408827,2.9,0.17710231189905581,0.19,-0.510087343941346,-0.486,208,0.4033816425120773,7,0.28878914754265983,0.002584272699901337,0.00019536723604643425,0.012897688100944188,0.02408734394134604,0.004515835864513935,0.0001372385482765505,0.24395393474088278,0.00041746641074857926
jp,filtered,2|4|6|8|20,3.1439539347408827,2.9,0.17710231189905581,0.19,-0.510087343941346,-0.486,208,0.4033816425120773,7,0.28878914754265983,0.002584272699901337,0.00019536723604643425,0.012897688100944188,0.02408734394134604,0.004515835864513935,0.0001372385482765505,0.24395393474088278,0.00041746641074857926
jp,bulla_only,6,2.992802303262956,2.9,0.18086678554206975,0.19,-0.5184268598535207,-0.486,198,1.0,7,0.14627513993571256,0.0020177630917780146,0.0023298965381553793,0.00913321445793025,0.03242685985352067,0.00499265567126124,0.0002355948528173571,0.09280230326295591,0.002336852207293738
jp,dense_small,2|4|6|8|10|12,3.264875239923225,2.9,0.17165530372715684,0.19,-0.5316645360317773,-0.486,216,0.3526570048309179,7,0.4435595991581959,0.003487810274636384,0.0014250169631846166,0.01834469627284316,0.045664536031777336,0.008801857126151537,0.00017829285428588512,0.3648752399232249,0.0007821497120921173
jp,dense_wide,4|8|12|16|20,2.7509596928982725,2.9,0.2235929102574928,0.19,-0.4547286622199159,-0.486,182,0.3647342995169082,7,0.24103859230917987,0.00500921241334553,0.0006827651873974605,0.03359291025749281,0.03127133778008406,0.01833727483115752,4.8162856976962515e-05,0.14904030710172744,0.0030566218809980894
jp,reach_low,2|4,4.685700575815739,2.9,0.20599987753491195,0.19,-0.481598480125082,-0.486,309,0.5120772946859904,7,1.8233468751577955,0.0021018105882645507,0.0012606381730008442,0.015999877534911944,0.004401519874917992,0.007899485662493988,0.0002823916927284023,1.785700575815739,0.005700575815738906
jp,reach_no_tail,0|2|4|6,3.899712092130518,2.9,0.17591673632844104,0.19,-0.49449787870632034,-0.486,258,0.4323671497584541,7,1.0332074905330415,0.0028146463930292867,0.002374290976377036,0.01408326367155896,0.00849787870632035,0.003924935804708769,0.0002984634647326678,0.999712092130518,0.0015019193857964686
