market,geometry,month,best_lambda,best_agreement,days
us,V0_expanding,2006-05,10.0,1.0,22
us,V0_expanding,2006-06,26.826957952797247,1.0,22
us,V0_expanding,2006-07,35.0,1.0,20
us,V0_expanding,2006-08,0.0,1.0,23
us,V0_expanding,2006-09,0.0,1.0,20
us,V0_expanding,2006-10,0.0,1.0,22
us,V0_expanding,2006-11,0.0,1.0,21
us,V0_expanding,2006-12,0.0,1.0,20
us,V0_expanding,2007-01,0.0,1.0,20
us,V0_expanding,2007-02,3.72759372031494,1.0,19
us,V0_expanding,2007-03,21.544346900318832,1.0,22
us,V0_expanding,2007-04,0.0,1.0,20
us,V0_expanding,2007-05,0.0,1.0,22
us,V0_expanding,2007-06,1.0,1.0,21
us,V0_expanding,2007-07,10.0,1.0,21
us,V0_expanding,2007-08,30.0,0.9565217391304348,23
us,V0_expanding,2007-09,1.0,0.8421052631578947,19
us,V0_expanding,2007-10,3.72759372031494,1.0,23
us,V0_expanding,2007-11,150.0,1.0,21
us,V0_expanding,2007-12,150.0,1.0,20
us,V0_expanding,2008-01,0.0,0.9047619047619048,21
us,V0_expanding,2008-02,0.0,1.0,20
us,V0_expanding,2008-03,0.0,1.0,20
us,V0_expanding,2008-04,1.93069772888325,1.0,22
us,V0_expanding,2008-05,10.0,1.0,21
us,V0_expanding,2008-06,10.0,1.0,21
us,V0_expanding,2008-07,0.0,1.0,22
us,V0_expanding,2008-08,0.0,1.0,21
us,V0_expanding,2008-09,0.0,1.0,21
us,V0_expanding,2008-10,0.0,1.0,23
us,V0_expanding,2008-11,0.0,1.0,19
us,V0_expanding,2008-12,0.0,1.0,22
us,V0_expanding,2009-01,0.0,1.0,20
us,V0_expanding,2009-02,0.0,1.0,19
us,V0_expanding,2009-03,0.0,1.0,22
us,V0_expanding,2009-04,0.0,1.0,21
us,V0_expanding,2009-05,1.93069772888325,1.0,20
us,V0_expanding,2009-06,15.0,0.9090909090909091,22
us,V0_expanding,2009-07,5.0,1.0,22
us,V0_expanding,2009-08,0.0,1.0,21
us,V0_expanding,2009-09,0.0,1.0,21
us,V0_expanding,2009-10,0.0,1.0,22
us,V0_expanding,2009-11,0.0,1.0,20
us,V0_expanding,2009-12,0.0,1.0,22
us,V0_expanding,2010-01,0.0,1.0,19
us,V0_expanding,2010-02,3.72759372031494,1.0,19
us,V0_expanding,2010-03,0.0,1.0,23
us,V0_expanding,2010-04,0.0,1.0,21
us,V0_expanding,2010-05,20.0,1.0,20
us,V0_expanding,2010-06,20.0,1.0,22
us,V0_expanding,2010-07,20.0,1.0,21
us,V0_expanding,2010-08,1.0,1.0,22
us,V0_expanding,2010-09,0.0,1.0,21
us,V0_expanding,2010-10,0.0,1.0,21
us,V0_expanding,2010-11,0.0,1.0,21
us,V0_expanding,2010-12,0.0,1.0,22
us,V0_expanding,2011-01,0.0,1.0,20
us,V0_expanding,2011-02,0.0,1.0,19
us,V0_expanding,2011-03,0.0,1.0,23
us,V0_expanding,2011-04,0.0,1.0,20
us,V0_expanding,2011-05,0.0,1.0,21
us,V0_expanding,2011-06,0.1,1.0,22
us,V0_expanding,2011-07,0.0,1.0,20
us,V0_expanding,2011-08,70.0,0.9565217391304348,23
us,V0_expanding,2011-09,0.0,1.0,21
us,V0_expanding,2011-10,0.0,0.8095238095238095,21
us,V0_expanding,2011-11,150.0,1.0,21
us,V0_expanding,2011-12,150.0,1.0,21
us,V0_expanding,2012-01,0.0,1.0,20
us,V0_expanding,2012-02,0.0,1.0,20
us,V0_expanding,2012-03,0.0,1.0,22
us,V0_expanding,2012-04,0.0,1.0,20
us,V0_expanding,2012-05,0.0,1.0,22
us,V0_expanding,2012-06,3.72759372031494,1.0,21
us,V0_expanding,2012-07,0.0,1.0,21
us,V0_expanding,2012-08,0.0,1.0,23
us,V0_expanding,2012-09,0.0,1.0,19
us,V0_expanding,2012-10,0.0,1.0,21
us,V0_expanding,2012-11,1.0,1.0,21
us,V0_expanding,2012-12,0.0,1.0,20
us,V0_expanding,2013-01,0.0,1.0,21
us,V0_expanding,2013-02,0.0,1.0,19
us,V0_expanding,2013-03,0.0,1.0,20
us,V0_expanding,2013-04,0.0,1.0,22
us,V0_expanding,2013-05,0.0,1.0,22
us,V0_expanding,2013-06,0.0,1.0,20
us,V0_expanding,2013-07,0.0,1.0,22
us,V0_expanding,2013-08,0.0,1.0,22
us,V0_expanding,2013-09,0.0,1.0,20
us,V0_expanding,2013-10,0.0,1.0,23
us,V0_expanding,2013-11,0.0,1.0,20
us,V0_expanding,2013-12,0.0,1.0,21
us,V0_expanding,2014-01,0.0,1.0,21
us,V0_expanding,2014-02,0.0,1.0,19
us,V0_expanding,2014-03,0.0,1.0,21
us,V0_expanding,2014-04,0.0,1.0,21
us,V0_expanding,2014-05,0.0,1.0,21
us,V0_expanding,2014-06,0.0,1.0,21
us,V0_expanding,2014-07,0.0,1.0,22
us,V0_expanding,2014-08,0.0,1.0,21
us,V0_expanding,2014-09,0.0,1.0,21
us,V0_expanding,2014-10,3.72759372031494,1.0,23
us,V0_expanding,2014-11,0.0,1.0,19
us,V0_expanding,2014-12,0.0,1.0,22
us,V0_expanding,2015-01,0.0,1.0,20
us,V0_expanding,2015-02,0.0,1.0,19
us,V0_expanding,2015-03,0.0,1.0,22
us,V0_expanding,2015-04,0.0,1.0,21
us,V0_expanding,2015-05,0.0,1.0,20
us,V0_expanding,2015-06,0.0,1.0,22
us,V0_expanding,2015-07,0.0,1.0,22
us,V0_expanding,2015-08,20.0,1.0,21
us,V0_expanding,2015-09,20.0,1.0,21
us,V0_expanding,2015-10,20.0,1.0,22
us,V0_expanding,2015-11,0.0,1.0,20
us,V0_expanding,2015-12,0.0,1.0,22
us,V0_expanding,2016-01,20.0,1.0,19
us,V0_expanding,2016-02,20.0,1.0,20
us,V0_expanding,2016-03,0.0,1.0,22
us,V0_expanding,2016-04,0.0,1.0,21
us,V0_expanding,2016-05,0.0,1.0,21
us,V0_expanding,2016-06,1.93069772888325,1.0,22
us,V0_expanding,2016-07,0.0,1.0,20
us,V0_expanding,2016-08,0.0,1.0,23
us,V0_expanding,2016-09,0.0,1.0,21
us,V0_expanding,2016-10,0.0,1.0,21
us,V0_expanding,2016-11,0.0,1.0,21
us,V0_expanding,2016-12,0.0,1.0,21
us,V0_expanding,2017-01,0.0,1.0,20
us,V0_expanding,2017-02,0.0,1.0,19
us,V0_expanding,2017-03,0.0,1.0,23
us,V0_expanding,2017-04,0.0,1.0,19
us,V0_expanding,2017-05,0.0,1.0,22
us,V0_expanding,2017-06,0.0,1.0,22
us,V0_expanding,2017-07,0.0,1.0,20
us,V0_expanding,2017-08,0.0,1.0,23
us,V0_expanding,2017-09,0.0,1.0,20
us,V0_expanding,2017-10,0.0,1.0,22
us,V0_expanding,2017-11,0.0,1.0,21
us,V0_expanding,2017-12,0.0,1.0,20
us,V0_expanding,2018-01,0.0,1.0,21
us,V0_expanding,2018-02,21.544346900318832,1.0,19
us,V0_expanding,2018-03,21.544346900318832,1.0,21
us,V0_expanding,2018-04,22.0,1.0,21
us,V0_expanding,2018-05,0.0,1.0,22
us,V0_expanding,2018-06,0.0,1.0,21
us,V0_expanding,2018-07,0.0,1.0,21
us,V0_expanding,2018-08,0.0,1.0,23
us,V0_expanding,2018-09,0.0,1.0,19
us,V0_expanding,2018-10,35.0,1.0,23
us,V0_expanding,2018-11,40.0,1.0,21
us,V0_expanding,2018-12,40.0,1.0,19
us,V0_expanding,2019-01,35.0,0.7619047619047619,21
us,V0_expanding,2019-02,0.0,1.0,19
us,V0_expanding,2019-03,0.0,1.0,21
us,V0_expanding,2019-04,0.0,1.0,21
us,V0_expanding,2019-05,1.0,1.0,22
us,V0_expanding,2019-06,1.93069772888325,1.0,20
us,V0_expanding,2019-07,0.0,1.0,22
us,V0_expanding,2019-08,20.0,1.0,22
