fit_date,training_start,training_end,observations,scaler_mean,scaler_scale,lambda,objective_180,centers,active_state_count,collapsed_to_one_state,objective_60,delta,changed
2003-07-01,1991-07-30,2003-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",26.826957952797247,3561.55252875656,"[[0.0817472452378929, 0.30832092685688167, 0.413772697310837], [2.1927310768419304, -0.7078800609692035, -0.8686608840404485]]",2,False,3561.55252875656,0.0,False
2003-07-01,1991-07-30,2003-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",30.0,3599.629033322992,"[[0.0817472452378929, 0.30832092685688167, 0.413772697310837], [2.1927310768419304, -0.7078800609692035, -0.8686608840404485]]",2,False,3599.629033322992,0.0,False
2003-07-01,1991-07-30,2003-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",40.0,3692.247593819391,"[[-0.008846709529471452, 0.38261186921197515, 0.49326775869406914], [1.8331501923637963, -0.5889321262783642, -0.6933827977068967]]",2,False,3692.247593819391,0.0,False
2004-01-02,1992-02-04,2004-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",26.826957952797247,3417.6347993576023,"[[0.07357729522273589, 0.4090193523890933, 0.5151048022569911], [1.9640714846967018, -0.6911399887170385, -0.837013388851904]]",2,False,3417.6347993576023,0.0,False
2004-01-02,1992-02-04,2004-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",30.0,3449.365219829629,"[[0.07357729522273589, 0.4090193523890933, 0.5151048022569911], [1.9640714846967018, -0.6911399887170385, -0.837013388851904]]",2,False,3449.365219829629,0.0,False
2004-01-02,1992-02-04,2004-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",40.0,3533.212644046111,"[[0.06804334325027458, 0.4143142708332412, 0.5289510516123654], [1.8933934455452748, -0.6543907787853241, -0.8073474133964772]]",2,False,3533.212644046111,0.0,False
2004-07-01,1992-08-07,2004-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",26.826957952797247,3362.3245649882306,"[[0.15326407356542587, 0.3498340230997844, 0.46925135801692414], [2.1973052871706242, -0.70570823741212, -0.8842291101480596]]",2,False,3362.3245649882306,0.0,False
2004-07-01,1992-08-07,2004-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",30.0,3390.881943413055,"[[0.15326407356542587, 0.3498340230997844, 0.46925135801692414], [2.1973052871706242, -0.70570823741212, -0.8842291101480596]]",2,False,3390.881943413055,0.0,False
2004-07-01,1992-08-07,2004-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",40.0,3465.9526202423017,"[[0.11598209712620391, 0.4052355282506589, 0.54253736940259], [1.9152527033656437, -0.6385450152280779, -0.8029867726580393]]",2,False,3465.9526202423017,0.0,False
2005-01-03,1993-02-12,2005-01-03,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",26.826957952797247,3223.0617097067584,"[[0.2372217691712385, 0.27808800970039693, 0.3766529912422542], [3.0213984859154315, -0.8619675267561929, -1.017108311081134]]",2,False,3223.0617097067584,0.0,False
2005-01-03,1993-02-12,2005-01-03,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",30.0,3254.7921301787846,"[[0.2372217691712385, 0.27808800970039693, 0.3766529912422542], [3.0213984859154315, -0.8619675267561929, -1.017108311081134]]",2,False,3254.7921301787846,0.0,False
2005-01-03,1993-02-12,2005-01-03,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",40.0,3338.496883811769,"[[0.13608229976420877, 0.3432280159216172, 0.4762485372253633], [2.335893967636694, -0.6577932814615367, -0.8318736410837901]]",2,False,3338.496883811769,0.0,False
2005-07-01,1993-08-17,2005-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",26.826957952797247,3147.2703401107833,"[[0.23583687782036306, 0.2630988792242482, 0.38730781512455775], [3.0213984859154306, -0.8619675267561927, -1.0171083110811345]]",2,False,3147.2703401107838,-4.547473508864641e-13,False
