agreement,grid
0.8762790697674419,3.72759|4.64159|5|15|22|150|1000
0.8762790697674419,3.72759|5|13.895|21.5443|100|150|1000
0.8762790697674419,3.72759|4.64159|5|13.895|15|22|150|1000
0.8762790697674419,3.72759|4.64159|5|15|22|150|500|1000
0.8762790697674419,3.72759|5|13.895|20|21.5443|100|150|1000
0.8762790697674419,3.72759|5|13.895|21.5443|22|100|150|1000
0.8762790697674419,3.72759|5|13.895|21.5443|100|150|500|1000
0.8762790697674419,3.72759|13.895|20|21.5443|22|70|150|1000
0.8761627906976744,3.72759|10|13.895|22|150|220|500
0.8761627906976744,3.72759|10|13.895|20|22|150|220|500
0.8761627906976744,15|20|22|40|60|150|220|500
0.8761627906976744,3.72759|4.64159|5|15|22|100|150|1000
0.8761627906976744,3.72759|13.895|21.5443|22|40|70|150|1000
0.876046511627907,3.72759|5|13.895|21.5443|150|1000
0.876046511627907,4.64159|5|15|22|150|1000
0.876046511627907,3.72759|5|13.895|21.5443|22|150|1000
0.876046511627907,3.72759|5|13.895|21.5443|150|500|1000
0.876046511627907,4.64159|5|15|22|150|500|1000
0.876046511627907,15|21.5443|22|150|220|500|1000
0.876046511627907,3.72759|5|13.895|21.5443|22|150|500|1000
0.876046511627907,15|20|22|40|51.7947|60|150|1000
0.8759302325581395,3.72759|15|22|150|1000
0.8759302325581395,3.72759|15|22|150|500|1000
0.8759302325581395,4.64159|5|15|100|150|1000
0.8759302325581395,15|20|21.5443|150|220|1000
0.8759302325581395,15|20|22|60|150|220|500
0.8759302325581395,4.64159|5|15|22|100|150|1000
0.8759302325581395,4.64159|5|15|100|150|500|1000
0.8759302325581395,15|20|21.5443|22|150|220|1000
0.8759302325581395,15|20|21.5443|150|220|500|1000
0.8759302325581395,3.72759|13.895|21.5443|22|70|100|150|1000
0.8759302325581395,4.64159|5|13.895|15|22|100|150|1000
0.8759302325581395,4.64159|5|15|20|22|100|150|1000
0.8759302325581395,4.64159|5|15|22|100|150|500|1000
0.8759302325581395,15|20|21.5443|22|150|220|500|1000
0.8758139534883721,3.72759|15|22|100|150|1000
0.8758139534883721,3.72759|15|20|22|100|150|1000
0.8758139534883721,3.72759|15|22|100|150|500|1000
0.8758139534883721,15|20|22|51.7947|60|150|1000
