agreement,grid
0.8509108341323106,1.9307|22|25|50|51.7947|220
0.8509108341323106,1.9307|20|21.5443|25|26.827|51.7947|220
0.8509108341323106,1.9307|20|21.5443|25|35|51.7947|220
0.8509108341323106,1.9307|21.5443|22|25|35|51.7947|220
0.8509108341323106,1.9307|20|21.5443|22|25|26.827|51.7947|220
0.8509108341323106,1.9307|20|21.5443|25|30|50|51.7947|220
0.850790987535954,1.9307|20|21.5443|25|51.7947|220
0.850790987535954,1.9307|20|21.5443|26.827|51.7947|220
0.850790987535954,1.9307|20|21.5443|22|25|51.7947|220
0.850790987535954,1.9307|20|21.5443|22|26.827|51.7947|220
0.8506711409395973,1.9307|21.5443|40|51.7947|220
0.8506711409395973,1.9307|20|21.5443|30|50|51.7947|220
0.8506711409395973,1.9307|20|21.5443|35|40|51.7947|220
0.8506711409395973,1.9307|20|22|30|50|51.7947|220
0.8506711409395973,1.9307|21.5443|22|35|40|51.7947|220
0.8506711409395973,1.9307|20|21.5443|22|30|50|51.7947|220
0.8506711409395973,1.9307|20|21.5443|30|40|50|51.7947|220
0.8506711409395973,1.9307|20|22|30|40|50|51.7947|220
0.8506711409395973,1.9307|21.5443|22|25|26.827|30|51.7947|220
0.8505512943432406,1.9307|22|40|51.7947|220
0.8505512943432406,1.9307|20|21.5443|35|51.7947|220
0.8505512943432406,1.9307|21.5443|22|35|51.7947|220
0.8505512943432406,1.9307|21.5443|22|26.827|30|51.7947|220
0.8505512943432406,1.9307|21.5443|22|30|35|51.7947|220
0.8505512943432406,1.9307|21.5443|22|26.827|30|35|51.7947|220
0.8505512943432406,1.9307|21.5443|22|26.827|30|40|51.7947|220
0.8505512943432406,1.9307|21.5443|22|30|35|40|51.7947|220
0.850431447746884,1.9307|21.5443|22|25|30|51.7947|220
0.850431447746884,1.9307|21.5443|22|25|30|35|51.7947|220
0.850431447746884,1.9307|21.5443|22|25|30|40|51.7947|220
0.8503116011505273,1.9307|22|25|26.827|30|50|220
0.8503116011505273,1.9307|15|22|25|26.827|30|51.7947|220
0.8503116011505273,1.9307|15|22|25|26.827|40|51.7947|220
0.8503116011505273,1.9307|22|25|26.827|30|35|50|220
0.8503116011505273,1.9307|22|25|26.827|30|40|50|220
0.8501917545541706,1.9307|21.5443|51.7947|220
0.8501917545541706,1.9307|21.5443|22|30|51.7947|220
0.8501917545541706,1.9307|22|25|30|50|220
0.8501917545541706,1.9307|22|26.827|30|50|220
0.8501917545541706,1.9307|15|22|25|30|51.7947|220
0.8501917545541706,1.9307|15|22|25|40|51.7947|220
0.8501917545541706,1.9307|15|22|26.827|30|51.7947|220
0.8501917545541706,1.9307|15|22|26.827|40|51.7947|220
0.8501917545541706,1.9307|20|35|40|50|51.7947|220
0.8501917545541706,1.9307|21.5443|22|30|40|51.7947|220
0.8501917545541706,1.9307|22|25|30|35|50|220
0.8501917545541706,1.9307|22|25|30|40|50|220
0.8501917545541706,1.9307|22|26.827|30|35|50|220
0.8501917545541706,1.9307|22|26.827|30|40|50|220
0.8501917545541706,1.9307|15|22|25|30|40|51.7947|220
0.8501917545541706,1.9307|15|22|26.827|30|40|51.7947|220
0.8501917545541706,1.9307|22|25|30|35|40|50|220
0.8501917545541706,1.9307|22|26.827|30|35|40|50|220
0.850071907957814,1.9307|22|51.7947|220
0.850071907957814,1.9307|20|35|50|51.7947|220
0.850071907957814,1.9307|20|21.5443|40|50|60|220
0.850071907957814,1.9307|21.5443|22|26.827|30|50|51.7947|220
0.850071907957814,1.9307|21.5443|22|30|35|50|51.7947|220
0.8499520613614573,1.9307|15|22|25|26.827|51.7947|220
0.8499520613614573,1.9307|20|21.5443|26.827|40|50|60|220
0.8499520613614573,1.9307|20|21.5443|35|40|50|60|220
0.8499520613614573,1.9307|21.5443|22|25|30|50|51.7947|220
0.8498322147651006,1.9307|15|22|26.827|51.7947|220
0.8498322147651006,1.9307|15|22|30|51.7947|220
0.8498322147651006,1.9307|15|22|30|40|51.7947|220
0.8498322147651006,1.9307|20|21.5443|35|50|60|220
0.8498322147651006,1.9307|15|20|25|30|51.7947|60|220
0.8498322147651006,1.9307|20|21.5443|26.827|35|50|60|220
0.849712368168744,1.9307|15|22|25|51.7947|220
0.849712368168744,1.9307|21.5443|22|30|50|51.7947|220
0.849712368168744,1.9307|15|22|25|30|50|51.7947|220
0.849712368168744,1.9307|15|22|26.827|30|50|51.7947|220
0.849712368168744,1.9307|21.5443|22|30|40|50|51.7947|220
0.8494726749760306,1.9307|20|21.5443|40|50|220
0.8494726749760306,1.9307|20|21.5443|50|60|220
0.8494726749760306,1.9307|21.5443|22|40|50|220
0.8494726749760306,1.9307|20|21.5443|22|40|50|220
0.8494726749760306,1.9307|15|20|21.5443|30|51.7947|60|220
0.849352828379674,1.9307|20|22|40|50|220
0.849352828379674,1.9307|20|26.827|40|50|220
0.849352828379674,1.9307|15|20|25|40|51.7947|220
0.849352828379674,1.9307|15|20|25|51.7947|60|220
0.849352828379674,1.9307|15|22|30|50|51.7947|220
0.849352828379674,1.9307|20|21.5443|26.827|40|50|220
0.849352828379674,1.9307|20|21.5443|26.827|50|60|220
0.849352828379674,1.9307|20|21.5443|35|40|50|220
0.849352828379674,1.9307|20|22|26.827|40|50|220
0.849352828379674,1.9307|20|26.827|35|40|50|220
0.849352828379674,1.9307|21.5443|22|26.827|40|50|220
0.849352828379674,1.9307|21.5443|22|35|40|50|220
0.849352828379674,1.9307|15|20|25|26.827|30|51.7947|220
0.849352828379674,1.9307|15|20|25|26.827|40|51.7947|220
0.849352828379674,1.9307|15|20|25|26.827|51.7947|60|220
0.849352828379674,1.9307|15|22|30|40|50|51.7947|220
0.849352828379674,1.9307|20|21.5443|22|26.827|40|50|220
0.849352828379674,1.9307|20|21.5443|26.827|35|40|50|220
0.849352828379674,1.9307|21.5443|22|26.827|35|40|50|220
0.8492329817833174,1.9307|20|21.5443|35|50|220
0.8492329817833174,1.9307|20|26.827|35|50|220
0.8492329817833174,1.9307|21.5443|22|35|50|220
0.8492329817833174,1.9307|15|20|25|30|51.7947|220
0.8492329817833174,1.9307|15|20|26.827|30|51.7947|220
0.8492329817833174,1.9307|20|21.5443|26.827|35|50|220
0.8492329817833174,1.9307|21.5443|22|26.827|35|50|220
0.8492329817833174,1.9307|21.5443|22|40|50|51.7947|220
0.8492329817833174,1.9307|15|20|21.5443|26.827|30|51.7947|220
0.8492329817833174,1.9307|15|20|21.5443|30|35|51.7947|220
0.8492329817833174,1.9307|15|20|22|25|30|51.7947|220
0.8492329817833174,1.9307|15|20|22|25|40|51.7947|220
0.8492329817833174,1.9307|15|20|22|26.827|30|51.7947|220
0.8492329817833174,1.9307|15|20|22|26.827|40|51.7947|220
0.8492329817833174,1.9307|15|20|25|26.827|35|51.7947|220
0.8492329817833174,1.9307|15|20|25|30|35|51.7947|220
0.8492329817833174,1.9307|15|20|25|30|40|51.7947|220
0.8492329817833174,1.9307|20|21.5443|22|40|50|51.7947|220
0.8492329817833174,1.9307|20|25|26.827|40|50|51.7947|220
0.8491131351869607,1.9307|20|22|40|50|51.7947|220
0.8491131351869607,1.9307|20|25|40|50|51.7947|220
0.8491131351869607,1.9307|20|26.827|40|50|51.7947|220
0.8491131351869607,1.9307|22|25|26.827|40|50|220
0.8491131351869607,1.9307|15|20|21.5443|25|30|51.7947|220
0.8491131351869607,1.9307|15|20|21.5443|25|40|51.7947|220
0.8491131351869607,1.9307|15|20|21.5443|25|51.7947|60|220
0.8491131351869607,1.9307|15|20|21.5443|26.827|40|51.7947|220
0.8491131351869607,1.9307|15|20|21.5443|26.827|51.7947|60|220
0.8491131351869607,1.9307|20|21.5443|26.827|40|50|51.7947|220
0.8491131351869607,1.9307|20|21.5443|35|40|50|51.7947|220
0.8491131351869607,1.9307|20|22|25|40|50|51.7947|220
0.8491131351869607,1.9307|20|22|26.827|40|50|51.7947|220
0.8491131351869607,1.9307|20|25|26.827|35|50|51.7947|220
0.8491131351869607,1.9307|20|25|35|40|50|51.7947|220
0.8491131351869607,1.9307|20|26.827|35|40|50|51.7947|220
0.8491131351869607,1.9307|21.5443|22|26.827|40|50|51.7947|220
0.8491131351869607,1.9307|21.5443|22|35|40|50|51.7947|220
0.8491131351869607,1.9307|22|25|26.827|35|40|50|220
0.8489932885906041,1.9307|21.5443|22|50|220
0.8489932885906041,1.9307|21.5443|22|26.827|50|220
0.8489932885906041,1.9307|22|25|40|50|220
0.8489932885906041,1.9307|20|21.5443|35|50|51.7947|220
0.8489932885906041,1.9307|20|21.5443|40|51.7947|60|220
0.8489932885906041,1.9307|20|25|26.827|30|50|220
0.8489932885906041,1.9307|20|25|35|50|51.7947|220
0.8489932885906041,1.9307|20|26.827|35|50|51.7947|220
0.8489932885906041,1.9307|21.5443|22|35|50|51.7947|220
0.8489932885906041,1.9307|22|25|26.827|35|50|220
0.8489932885906041,1.9307|22|25|35|40|50|220
0.8489932885906041,1.9307|15|20|21.5443|26.827|35|51.7947|220
0.8489932885906041,1.9307|15|20|25|35|40|51.7947|220
0.8489932885906041,1.9307|20|21.5443|22|35|50|51.7947|220
0.8489932885906041,1.9307|20|21.5443|25|26.827|30|50|220
0.8489932885906041,1.9307|20|21.5443|25|40|50|51.7947|220
0.8489932885906041,1.9307|20|21.5443|26.827|35|50|51.7947|220
0.8489932885906041,1.9307|20|22|25|26.827|30|50|220
0.8489932885906041,1.9307|20|25|26.827|30|35|50|220
0.8489932885906041,1.9307|20|25|26.827|30|40|50|220
0.8489932885906041,1.9307|21.5443|22|25|40|50|51.7947|220
0.8489932885906041,1.9307|21.5443|22|26.827|35|50|51.7947|220
0.8488734419942474,1.9307|20|21.5443|50|220
0.8488734419942474,1.9307|20|21.5443|22|50|220
0.8488734419942474,1.9307|20|25|30|50|220
0.8488734419942474,1.9307|20|26.827|30|50|220
0.8488734419942474,1.9307|22|25|35|50|220
0.8488734419942474,1.9307|15|20|21.5443|30|51.7947|220
0.8488734419942474,1.9307|15|20|22|30|51.7947|220
0.8488734419942474,1.9307|15|20|25|35|51.7947|220
0.8488734419942474,1.9307|20|21.5443|26.827|30|50|220
0.8488734419942474,1.9307|20|21.5443|30|35|50|220
0.8488734419942474,1.9307|20|22|25|30|50|220
0.8488734419942474,1.9307|20|22|26.827|30|50|220
0.8488734419942474,1.9307|20|25|30|35|50|220
0.8488734419942474,1.9307|20|25|30|40|50|220
0.8488734419942474,1.9307|20|26.827|30|35|50|220
0.8488734419942474,1.9307|20|26.827|30|40|50|220
0.8488734419942474,1.9307|15|20|21.5443|22|30|51.7947|220
0.8488734419942474,1.9307|15|20|21.5443|30|40|51.7947|220
0.8488734419942474,1.9307|15|20|22|30|40|51.7947|220
0.8488734419942474,1.9307|20|21.5443|22|26.827|30|50|220
0.8488734419942474,1.9307|20|21.5443|25|35|50|51.7947|220
0.8488734419942474,1.9307|20|21.5443|26.827|30|35|50|220
0.8488734419942474,1.9307|20|21.5443|26.827|30|40|50|220
0.8488734419942474,1.9307|20|21.5443|30|35|40|50|220
0.8488734419942474,1.9307|20|22|25|30|40|50|220
0.8488734419942474,1.9307|20|22|26.827|30|40|50|220
0.8488734419942474,1.9307|20|25|30|35|40|50|220
0.8488734419942474,1.9307|20|26.827|30|35|40|50|220
0.8488734419942474,1.9307|21.5443|22|25|26.827|50|51.7947|220
0.8488734419942474,1.9307|21.5443|22|25|35|50|51.7947|220
0.8487535953978907,1.9307|20|22|50|220
0.8487535953978907,1.9307|20|26.827|50|220
0.8487535953978907,1.9307|15|20|25|51.7947|220
0.8487535953978907,1.9307|20|21.5443|26.827|50|220
0.8487535953978907,1.9307|20|22|26.827|50|220
0.8487535953978907,1.9307|21.5443|22|50|51.7947|220
0.8487535953978907,1.9307|22|25|26.827|50|220
0.8487535953978907,1.9307|15|20|25|26.827|51.7947|220
0.8487535953978907,1.9307|20|21.5443|22|26.827|50|220
0.8487535953978907,1.9307|20|21.5443|25|30|50|220
0.8487535953978907,1.9307|21.5443|22|26.827|50|51.7947|220
0.8487535953978907,1.9307|15|20|22|25|26.827|51.7947|220
0.8487535953978907,1.9307|15|20|25|30|50|51.7947|220
0.8487535953978907,1.9307|20|21.5443|22|25|30|50|220
