agreement,grid
0.9585425668574098,0|0.1|13.895|35|40|51.7947|70|150
0.9585425668574098,0|0.1|13.895|35|51.7947|70|80|150
0.9585425668574098,0|0.1|10|13.895|35|51.7947|150|220
0.9585425668574098,0|10|13.895|35|40|50|150|220
0.9584257853555996,0.1|21.5443|220
0.9584257853555996,0|20|21.5443|220
0.9584257853555996,0.1|21.5443|220|1000
0.9584257853555996,0|0.1|7.19686|20|220
0.9584257853555996,0|20|21.5443|220|1000
0.9584257853555996,0.1|21.5443|220|500|1000
0.9584257853555996,0|0.1|7.19686|10|20|220
0.9584257853555996,0|0.1|7.19686|20|220|1000
0.9584257853555996,0|20|21.5443|220|500|1000
0.9584257853555996,0|0.1|10|21.5443|30|35|150
0.9584257853555996,0|0.1|10|21.5443|35|150|220
0.9584257853555996,0|0.1|7.19686|10|20|220|1000
0.9584257853555996,0|0.1|7.19686|20|220|500|1000
0.9584257853555996,0|0.1|10|20|21.5443|30|35|150
0.9584257853555996,0|0.1|10|20|21.5443|35|150|220
0.9584257853555996,0|0.1|10|21.5443|30|35|150|220
0.9584257853555996,0|10|13.895|35|51.7947|70|150|220
0.9584257853555996,0|0.1|7.19686|10|20|220|500|1000
0.9583090038537896,0.1|20|21.5443|220
0.9583090038537896,0.1|20|21.5443|220|1000
0.9583090038537896,0.1|20|21.5443|220|500|1000
0.9583090038537896,0|0.1|13.895|35|40|50|70|150
0.9581922223519794,0|10|20|35|150
0.9581922223519794,0|15|20|35|150
0.9581922223519794,0|0.1|20|21.5443|220
0.9581922223519794,0|0.1|20|21.5443|220|1000
0.9581922223519794,0|0.1|7.19686|21.5443|30|35|150
0.9581922223519794,0|7.19686|15|20|30|35|150
0.9581922223519794,0|0.1|7.19686|21.5443|35|150|220
0.9581922223519794,0|0.1|20|21.5443|220|500|1000
0.9581922223519794,0|0.1|20|35|40|150|1000
0.9581922223519794,0|0.1|7.19686|10|21.5443|30|35|150
0.9581922223519794,0|0.1|7.19686|20|21.5443|30|35|150
0.9581922223519794,0|0.1|7.19686|20|21.5443|35|60|150
0.9581922223519794,0|7.19686|10|15|20|30|35|150
0.9581922223519794,0|7.19686|13.895|15|20|30|35|150
0.9581922223519794,0|0.1|7.19686|10|21.5443|35|150|220
0.9581922223519794,0|0.1|7.19686|20|21.5443|35|150|220
0.9581922223519794,0|0.1|7.19686|21.5443|30|35|150|220
0.9581922223519794,0|0.1|20|30|35|40|150|1000
0.9581922223519794,0|0.1|20|35|40|150|220|1000
0.9581922223519794,0|0.1|20|35|40|150|500|1000
0.9580754408501694,0.1|10|20|35|150
0.9580754408501694,0.1|15|20|35|150
0.9580754408501694,0|13.895|15|20|35|150
0.9580754408501694,0|15|21.5443|30|35|150
0.9580754408501694,0|15|21.5443|35|150|220
0.9580754408501694,0|15|20|21.5443|30|35|150
0.9580754408501694,0|15|20|21.5443|35|60|150
0.9580754408501694,0.1|7.19686|15|20|30|35|150
0.9580754408501694,0|7.19686|13.895|35|51.7947|150|220
0.9580754408501694,0|15|20|21.5443|35|150|220
0.9580754408501694,0|15|21.5443|30|35|150|220
0.9580754408501694,0|15|21.5443|35|60|150|220
0.9580754408501694,0|15|20|21.5443|30|35|60|150
0.9580754408501694,0.1|7.19686|10|15|20|30|35|150
0.9580754408501694,0.1|7.19686|13.895|15|20|30|35|150
0.9580754408501694,0|7.19686|10|13.895|35|51.7947|150|220
0.9580754408501694,0|7.19686|13.895|30|35|51.7947|150|220
0.9580754408501694,0|7.19686|13.895|35|40|51.7947|150|220
0.9580754408501694,0|7.19686|13.895|35|51.7947|80|150|220
0.9580754408501694,0|15|20|21.5443|30|35|150|220
0.9580754408501694,0|15|20|21.5443|35|60|150|220
0.9580754408501694,0|15|21.5443|30|35|60|150|220
0.9580754408501694,0|7.19686|13.895|35|51.7947|80|150|500
0.9580754408501694,0|7.19686|13.895|35|51.7947|80|150|1000
0.9579586593483592,0|0.1|10|20|35|150
0.9579586593483592,0|0.1|15|20|35|150
0.9579586593483592,0|13.895|21.5443|30|35|150
0.9579586593483592,0.1|13.895|15|20|35|150
0.9579586593483592,0.1|15|21.5443|30|35|150
0.9579586593483592,0.1|15|21.5443|35|60|150
0.9579586593483592,0|13.895|21.5443|35|150|220
0.9579586593483592,0.1|15|21.5443|35|150|220
0.9579586593483592,0|13.895|15|21.5443|30|35|150
0.9579586593483592,0|13.895|20|21.5443|30|35|150
0.9579586593483592,0.1|15|20|21.5443|30|35|150
0.9579586593483592,0.1|15|20|21.5443|35|60|150
0.9579586593483592,0.1|15|21.5443|30|35|60|150
0.9579586593483592,0|13.895|15|21.5443|35|150|220
0.9579586593483592,0|13.895|20|21.5443|35|150|220
0.9579586593483592,0|13.895|21.5443|30|35|150|220
0.9579586593483592,0.1|15|20|21.5443|35|150|220
0.9579586593483592,0.1|15|21.5443|30|35|150|220
0.9579586593483592,0.1|15|21.5443|35|60|150|220
0.9579586593483592,0.1|15|21.5443|35|60|150|500
0.9579586593483592,0|13.895|15|20|21.5443|30|35|150
0.9579586593483592,0.1|15|20|21.5443|30|35|60|150
0.9579586593483592,0|13.895|15|20|21.5443|35|150|220
0.9579586593483592,0|13.895|15|21.5443|30|35|150|220
0.9579586593483592,0|13.895|20|21.5443|30|35|150|220
0.9579586593483592,0.1|15|20|21.5443|30|35|150|220
0.9579586593483592,0.1|15|20|21.5443|35|60|150|220
