agreement,grid
0.8769767441860465,15|51.7947|70|80|150|1000
0.8769767441860465,0|15|51.7947|70|80|150|1000
0.8769767441860465,15|40|51.7947|70|80|150|1000
0.8769767441860465,15|51.7947|70|80|150|500|1000
0.8769767441860465,0|15|40|51.7947|70|80|150|1000
0.8769767441860465,0|15|51.7947|70|80|150|500|1000
0.8769767441860465,15|40|51.7947|70|80|150|500|1000
0.8769767441860465,15|51.7947|60|80|100|150|220|1000
0.876860465116279,0|15|50|70|80|150|1000
0.876860465116279,15|20|51.7947|70|80|150|1000
0.876860465116279,15|50|51.7947|70|80|150|1000
0.876860465116279,0|15|40|50|70|80|150|1000
0.876860465116279,0|15|50|51.7947|70|80|150|1000
0.876860465116279,0|15|50|70|80|150|500|1000
0.876860465116279,15|20|22|51.7947|60|70|150|1000
0.876860465116279,15|20|40|51.7947|70|80|150|1000
0.876860465116279,15|20|51.7947|70|80|150|500|1000
0.876860465116279,15|40|50|51.7947|70|80|150|1000
0.876860465116279,15|50|51.7947|70|80|150|500|1000
0.876860465116279,15|50|60|80|100|150|220|1000
0.8767441860465116,70|100|150|1000
0.8767441860465116,70|100|150|500|1000
0.8767441860465116,15|51.7947|60|70|150|1000
0.8767441860465116,15|51.7947|60|70|150|500|1000
0.8767441860465116,15|21.5443|51.7947|60|70|80|150|1000
0.8765116279069768,15|51.7947|70|80|100|150|1000
0.8765116279069768,15|40|51.7947|70|80|100|150|1000
0.8765116279069768,15|51.7947|70|80|100|150|500|1000
0.8763953488372093,15|20|22|51.7947|70|80|150|1000
0.8763953488372093,15|20|51.7947|70|80|100|150|1000
0.8762790697674419,15|22|51.7947|70|80|150|1000
0.8762790697674419,15|22|40|51.7947|70|80|150|1000
0.8762790697674419,15|22|51.7947|70|80|150|500|1000
0.8761627906976744,15|51.7947|80|100|150|1000
0.8761627906976744,15|40|51.7947|80|100|150|1000
0.8761627906976744,15|51.7947|80|100|150|500|1000
0.8761627906976744,15|40|51.7947|80|100|150|500|1000
