agreement,grid
0.8470757430488974,1.9307|15|20|25|26.827|30|51.7947|220
0.8470757430488974,1.9307|15|25|26.827|35|40|51.7947|220
0.8469558964525408,1.9307|15|20|26.827|30|51.7947|220
0.8469558964525408,1.9307|15|25|26.827|35|51.7947|220
0.8469558964525408,1.9307|15|20|21.5443|26.827|30|51.7947|220
0.8469558964525408,1.9307|15|20|22|25|30|51.7947|220
0.8469558964525408,1.9307|15|20|22|26.827|30|51.7947|220
0.8469558964525408,1.9307|15|20|26.827|30|35|51.7947|220
0.8468360498561841,1.9307|15|20|21.5443|25|30|51.7947|220
0.8467162032598274,1.9307|15|25|51.7947|220
0.8467162032598274,1.9307|15|25|26.827|51.7947|220
0.8467162032598274,1.9307|15|20|21.5443|30|51.7947|220
0.8467162032598274,1.9307|15|25|35|40|51.7947|220
0.8467162032598274,1.9307|22|35|40|50|51.7947|220
0.8467162032598274,1.9307|15|20|21.5443|22|30|51.7947|220
0.8467162032598274,1.9307|15|20|21.5443|30|40|51.7947|220
0.8467162032598274,1.9307|15|20|26.827|35|51.7947|220|1000
0.8465963566634708,1.9307|15|20|30|51.7947|220
0.8465963566634708,1.9307|15|25|35|51.7947|220
0.8465963566634708,1.9307|22|35|50|51.7947|220
0.8465963566634708,1.9307|15|20|22|30|51.7947|220
0.8465963566634708,1.9307|15|20|22|30|40|51.7947|220
0.8464765100671141,1.9307|15|30|51.7947|150|220
0.8463566634707574,1.9307|15|20|25|26.827|51.7947|220|1000
0.8462368168744008,1.9307|15|21.5443|35|40|51.7947|220
0.8462368168744008,1.9307|15|21.5443|22|35|40|51.7947|220
0.8461169702780441,1.9307|15|21.5443|35|51.7947|220
0.8461169702780441,1.9307|15|21.5443|22|35|51.7947|220
0.8458772770853308,1.9307|21.5443|22|40|50|51.7947|220
0.8458772770853308,1.9307|22|25|26.827|40|50|51.7947|220
0.8457574304889741,1.9307|22|40|50|51.7947|220
0.8457574304889741,1.9307|22|25|40|50|51.7947|220
0.8457574304889741,1.9307|22|26.827|40|50|51.7947|220
0.8457574304889741,1.9307|21.5443|22|26.827|40|50|51.7947|220
0.8457574304889741,1.9307|21.5443|22|35|40|50|51.7947|220
0.8457574304889741,1.9307|22|25|26.827|35|50|51.7947|220
0.8457574304889741,1.9307|22|25|35|40|50|51.7947|220
0.8457574304889741,1.9307|22|26.827|35|40|50|51.7947|220
0.8456375838926175,1.9307|15|21.5443|22|40|51.7947|220
0.8456375838926175,1.9307|21.5443|22|35|50|51.7947|220
0.8456375838926175,1.9307|22|25|35|50|51.7947|220
0.8456375838926175,1.9307|22|26.827|35|50|51.7947|220
0.8456375838926175,1.9307|21.5443|22|25|40|50|51.7947|220
0.8456375838926175,1.9307|21.5443|22|26.827|35|50|51.7947|220
0.8455177372962608,1.9307|15|20|51.7947|220|1000
0.8455177372962608,1.9307|22|25|26.827|50|51.7947|220
0.8455177372962608,1.9307|21.5443|22|25|26.827|50|51.7947|220
0.8455177372962608,1.9307|21.5443|22|25|35|50|51.7947|220
