arm,market,cell,mine,shu_mine,rel,ours,shu_claim,relative_deviation,grade,abs_gap,rel_gap
M_no_freeze,de,turnover,1.2304115322018137,1.7,0.27622851046952135,1.2304115322018137,1.7,0.2762285104695213,C,0.0,5.551115123125783e-17
M_no_freeze,de,leverage,0.7373866542664497,0.84,0.12215874492089322,0.7373866542664497,0.84,0.1221587449208932,B,0.0,2.7755575615628914e-17
M_no_freeze,jp,cagr,0.017923050684516495,0.047,0.6186584960741172,0.0179230506845164,0.047,0.6186584960741172,F,9.367506770274758e-17,0.0
M_no_freeze,jp,volatility,0.14343913054540794,0.171,0.16117467517305306,0.1434391305454079,0.171,0.161174675173053,B,2.7755575615628914e-17,5.551115123125783e-17
M_no_freeze,jp,sharpe,0.1492717949818184,0.31,0.5184780807038116,0.1492717949818184,0.31,0.5184780807038116,D,0.0,0.0
M_no_freeze,jp,maximum_drawdown,-0.3903939682146774,-0.453,0.1382031606740013,-0.3903939682146774,-0.453,0.1382031606740013,B,0.0,0.0
M_no_freeze,jp,calmar,0.054845664201887176,0.12,0.5429527983176069,0.0548456642018871,0.12,0.5429527983176069,D,7.632783294297951e-17,0.0
M_no_freeze,jp,expected_shortfall_5pct,-0.023452069935088256,-0.026,0.0979973101889132,-0.0234520699350882,-0.026,0.0979973101889132,B,5.551115123125783e-17,0.0
M_no_freeze,jp,turnover,1.5568618042226487,0.72,1.1623080614203456,1.5568618042226487,0.72,1.1623080614203456,F,0.0,0.0
M_no_freeze,jp,leverage,0.552063339731286,0.75,0.26391554702495207,0.552063339731286,0.75,0.263915547024952,C,0.0,5.551115123125783e-17
