market,fit_date,lambda,jumps,objective,shifts_per_year
us,1984-07-02,65.0,2,2156.510866412475,0.16799999999999998
us,1985-01-02,0.55,73,1468.7733970130857,6.132
us,1985-01-02,1.465348864441625,49,1523.5817884982941,4.116
us,1985-01-02,5.459611390906074,23,1642.6443088131718,1.932
us,1985-01-02,23.5,9,1912.722459417454,0.756
us,1985-01-02,37.5,5,2003.1084436043216,0.42
us,1985-01-02,65.0,1,2096.1505115169457,0.08399999999999999
us,1985-07-01,0.55,73,1526.676138943693,6.132
us,1985-07-01,1.465348864441625,47,1585.6170737255727,3.948
us,1985-07-01,5.459611390906074,25,1720.4612173028954,2.1
us,1985-07-01,23.5,10,1977.8268362277317,0.84
us,1985-07-01,37.5,6,2066.2638887546323,0.504
us,1985-07-01,65.0,4,2207.180495143773,0.33599999999999997
us,1986-01-02,0.55,73,1457.3569259284975,6.132
us,1986-01-02,1.465348864441625,55,1514.5419747234052,4.62
us,1986-01-02,5.459611390906074,23,1654.467479461522,1.932
us,1986-01-02,23.5,13,1956.2817621795725,1.0919999999999999
us,1986-01-02,37.5,5,2083.4689833344614,0.42
us,1986-01-02,65.0,3,2194.344087164752,0.252
us,1986-07-01,0.55,67,1478.7733455804205,5.628
us,1986-07-01,1.465348864441625,49,1530.6123020824648,4.116
us,1986-07-01,5.459611390906074,27,1668.2517036794673,2.268
us,1986-07-01,23.5,15,1994.5182805497273,1.26
us,1986-07-01,37.5,11,2163.9198273240763,0.9239999999999999
us,1986-07-01,65.0,3,2294.4081763987906,0.252
us,1987-01-02,0.55,71,1340.6900389097846,5.9639999999999995
us,1987-01-02,1.465348864441625,51,1396.0935258532418,4.284
us,1987-01-02,5.459611390906074,27,1540.5317890737776,2.268
us,1987-01-02,23.5,13,1864.3784724443408,1.0919999999999999
us,1987-01-02,37.5,6,2013.7923587088508,0.504
us,1987-01-02,65.0,6,2178.7923587088517,0.504
us,1987-07-01,0.55,75,1420.8450256291858,6.3
us,1987-07-01,1.465348864441625,57,1480.2777571576667,4.788
us,1987-07-01,5.459611390906074,31,1637.2809043006712,2.604
us,1987-07-01,23.5,15,1981.2456443811318,1.26
us,1987-07-01,37.5,6,2116.9654315006346,0.504
