market,delay,basis,metric,ours,shu,deviation,within_tol
de,5,risky_leg_wealth_flat_in_cash,expected_shortfall_5pct,-0.022462850944392092,-0.022,0.00046285094439209307,True
de,10,total_wealth,expected_shortfall_5pct,-0.02323133025014961,-0.022,0.001231330250149612,True
de,10,risky_leg_wealth_flat_in_cash,expected_shortfall_5pct,-0.02323133025014961,-0.022,0.001231330250149612,True
de,1,total_wealth,turnover,2.2557544757033248,2.46,0.2042455242966752,False
de,1,risky_leg_wealth_flat_in_cash,turnover,2.2557544757033248,2.46,0.2042455242966752,False
de,5,total_wealth,turnover,2.5780051150895145,2.46,0.1180051150895145,False
de,5,risky_leg_wealth_flat_in_cash,turnover,2.5780051150895145,2.46,0.1180051150895145,False
de,10,total_wealth,turnover,2.958846779818647,2.46,0.4988467798186469,False
de,10,risky_leg_wealth_flat_in_cash,turnover,2.958846779818647,2.46,0.4988467798186469,False
de,1,total_wealth,leverage,0.7294815159265288,0.73,0.0005184840734712148,True
de,1,risky_leg_wealth_flat_in_cash,leverage,0.7294815159265288,0.73,0.0005184840734712148,True
de,5,total_wealth,leverage,0.727040223203906,0.73,0.002959776796093938,True
de,5,risky_leg_wealth_flat_in_cash,leverage,0.727040223203906,0.73,0.002959776796093938,True
de,10,total_wealth,leverage,0.7280864915136015,0.73,0.0019135084863984853,True
de,10,risky_leg_wealth_flat_in_cash,leverage,0.7280864915136015,0.73,0.0019135084863984853,True
jp,1,total_wealth,cagr,0.022415727300098665,0.025,0.002584272699901337,True
jp,1,risky_leg_wealth_flat_in_cash,cagr,0.022415727300098665,0.025,0.002584272699901337,True
jp,5,total_wealth,cagr,0.01706439513133362,0.025,0.00793560486866638,True
jp,5,risky_leg_wealth_flat_in_cash,cagr,0.01706439513133362,0.025,0.00793560486866638,True
jp,10,total_wealth,cagr,0.008641351440826561,0.025,0.01635864855917344,True
jp,10,risky_leg_wealth_flat_in_cash,cagr,0.008641351440826561,0.025,0.01635864855917344,True
jp,1,total_wealth,volatility,0.15980463276395357,0.16,0.00019536723604643425,True
jp,1,risky_leg_wealth_flat_in_cash,volatility,0.15980463276395357,0.16,0.00019536723604643425,True
jp,5,total_wealth,volatility,0.1628446278628164,0.16,0.00284462786281639,True
jp,5,risky_leg_wealth_flat_in_cash,volatility,0.1628446278628164,0.16,0.00284462786281639,True
